index	original	parse
12	Ik zal in mijn inleiding de drie terreinen - Koninkrijk , samenleving en economie - kort langslopen en ingaan op wat in mijn ogen nodig is om de toekomst met vertrouwen tegemoet te zien .	(ROOT (SMAIN (vnw 0) (ww 1) (CONJ (INF (PP (vz 2) (NP (vnw 3) (n 4))) (NP (lid 5) (tw 6) (n 7) (let 8) (CONJ (n 9) (let 10) (n 11) (vg 12) (n 13)) (let 14)) (adj 15) (ww 16)) (vg 17) (INF (ww 18) (PP (vz 19) (WHREL (vnw 20) (SSUB (PP (vz 21) (NP (vnw 22) (n 23))) (AP (adj 24) (OTI (vz 26) (TI (INF (NP (lid 27) (n 28)) (PP (vz 29) (n 30)) (bw 31) (ww 33)) (vz 32)))) (ww 25))))))) (let 34))
13	Daarna hoor ik graag hoe u er tegen aankijkt .	(ROOT (SMAIN (bw 0) (ww 1) (vnw 2) (bw 3) (WHSUB (bw 4) (SSUB (vnw 5) (PP (vnw 6) (vz 7)) (ww 8)))) (let 9))
14	Ik begin bij het Koninkrijk der Nederlanden .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (NP (lid 3) (MWU (n 4) (lid 5) (n 6))))) (let 7))
15	Er is momenteel veel in beweging binnen ons Koninkrijk .	(ROOT (SMAIN (vnw 0) (ww 1) (AP (adj 2) (vnw 3)) (MWU (vz 4) (n 5)) (PP (vz 6) (NP (vnw 7) (n 8)))) (let 9))
16	Bonaire , Curaçao , Sint Maarten , Sint Eustatius , Saba en Nederland hebben samen gekozen voor nieuwe staatkundige verhoudingen , waar Aruba medewerking aan verleent .	(ROOT (SMAIN (CONJ (n 0) (let 1) (n 2) (let 3) (MWU (spec 4) (spec 5)) (let 6) (MWU (spec 7) (spec 8)) (let 9) (n 10) (vg 11) (n 12)) (ww 13) (bw 14) (PPART (ww 15) (PP (vz 16) (NP (adj 17) (adj 18) (n 19) (let 20) (REL (vnw 21) (SSUB (n 22) (n 23) (PP (vz 24)) (ww 25))))))) (let 26))
17	Een vrije keuze voor een blijvend , duurzaam en intensief partnerschap .	(ROOT (NP (lid 0) (adj 1) (n 2) (PP (vz 3) (NP (lid 4) (CONJ (ww 5) (let 6) (adj 7) (vg 8) (adj 9)) (n 10)))) (let 11))
18	Zonder overdrijven kunnen we wel zeggen dat dit een historische stap is .	(ROOT (SMAIN (INF (PP (vz 0) (ww 1)) (bw 4) (ww 5) (CP (vg 6) (SSUB (vnw 7) (NP (lid 8) (adj 9) (n 10)) (ww 11)))) (ww 2) (vnw 3)) (let 12))
19	Een stap die - zeer begrijpelijk - veel dynamiek veroorzaakt .	(ROOT (NP (lid 0) (n 1) (REL (vnw 2) (SSUB (let 3) (AP (bw 4) (adj 5)) (let 6) (NP (vnw 7) (n 8)) (ww 9)))) (let 10))
20	Ik heb begrepen dat er zelfs bij het carnaval vorige week al mensen waren die anticipeerden op de nieuwe situatie .	(ROOT (SMAIN (vnw 0) (ww 1) (PPART (ww 2) (CP (vg 3) (SSUB (vnw 4) (bw 5) (PP (vz 6) (NP (lid 7) (n 8) (NP (adj 9) (n 10)))) (bw 11) (NP (n 12) (REL (vnw 14) (SSUB (ww 15) (PP (vz 16) (NP (lid 17) (adj 18) (n 19)))))) (ww 13))))) (let 20))
21	Zij dansten door de straten in kleren met aan de ene kant de Nederlandse vlag , terwijl de andere lichaamshelft was gehuld in de vlag van Curaçao .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (NP (lid 3) (n 4))) (PP (vz 5) (NP (n 6) (PP (vz 7) (PP (vz 8) (NP (lid 9) (vnw 10) (n 11))) (NP (lid 12) (adj 13) (n 14))))) (let 15) (CP (vg 16) (SSUB (NP (lid 17) (adj 18) (n 19)) (ww 20) (PPART (ww 21) (PP (vz 22) (NP (lid 23) (n 24) (PP (vz 25) (n 26)))))))) (let 27))
22	Dat had ik wel eens willen zien !	(ROOT (SMAIN (INF (INF (vnw 0) (bw 3) (bw 4) (ww 6)) (ww 5)) (ww 1) (vnw 2)) (let 7))
23	Het staatkundige proces maakt veel los : gevoelens , maar ook de tongen .	(ROOT (DU (SMAIN (NP (lid 0) (adj 1) (n 2)) (ww 3) (AP (vnw 4) (adj 5))) (let 6) (CONJ (n 7) (let 8) (vg 9) (NP (bw 10) (lid 11) (n 12)))) (let 13))
24	Sommigen menen in ongenuanceerde bewoordingen allerlei harde kwalificaties te moeten geven .	(ROOT (SMAIN (vnw 0) (ww 1) (TI (INF (INF (PP (vz 2) (NP (adj 3) (n 4))) (NP (adj 5) (adj 6) (n 7)) (ww 10)) (ww 9)) (vz 8))) (let 11))
25	Ik betreur dat .	(ROOT (SMAIN (vnw 0) (ww 1) (vnw 2)) (let 3))
26	Het is onnodig en onproductief .	(ROOT (SMAIN (vnw 0) (ww 1) (CONJ (adj 2) (vg 3) (adj 4))) (let 5))
27	Wél productief is te investeren in elkaar , tegenstellingen te overbruggen , respect te tonen voor elkaars overtuigingen , reële problemen concreet te benoemen en te werken aan reële oplossingen .	(ROOT (SMAIN (AP (bw 0) (adj 1)) (ww 2) (CONJ (TI (vz 3) (INF (ww 4) (PP (vz 5) (vnw 6)))) (let 7) (CONJ (TI (INF (n 8) (ww 10)) (vz 9)) (let 11) (TI (INF (NP (n 12) (PP (vz 15) (NP (vnw 16) (n 17)))) (ww 14)) (vz 13)) (let 18) (TI (INF (NP (adj 19) (n 20)) (adj 21) (ww 23)) (vz 22)) (vg 24) (TI (vz 25) (INF (ww 26) (PP (vz 27) (NP (adj 28) (n 29)))))))) (let 30))
28	Het traject van staatkundige vernieuwing is een belangrijke stap naar een kansrijke toekomst van de eilanden .	(ROOT (SMAIN (NP (lid 0) (n 1) (PP (vz 2) (NP (adj 3) (n 4)))) (ww 5) (NP (lid 6) (adj 7) (n 8) (PP (vz 9) (NP (lid 10) (adj 11) (n 12) (PP (vz 13) (NP (lid 14) (n 15))))))) (let 16))
29	Zorgvuldigheid staat daarbij voorop .	(ROOT (SMAIN (n 0) (ww 1) (bw 2) (bw 3)) (let 4))
30	Er gaat veel veranderen binnen het Koninkrijk .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (vnw 2) (n 3) (PP (vz 4) (NP (lid 5) (n 6))))) (let 7))
31	Het bestuurlijke plaatje wordt overzichtelijker .	(ROOT (SMAIN (NP (lid 0) (adj 1) (n 2)) (ww 3) (adj 4)) (let 5))
32	Curaçao en Sint Maarten krijgen de status van land .	(ROOT (SMAIN (CONJ (n 0) (vg 1) (MWU (spec 2) (spec 3))) (ww 4) (NP (lid 5) (n 6) (PP (vz 7) (n 8)))) (let 9))
33	Bonaire , Sint Eustatius en Saba worden een soort gemeente .	(ROOT (SMAIN (CONJ (n 0) (let 1) (MWU (spec 2) (spec 3)) (vg 4) (n 5)) (ww 6) (NP (NP (lid 7) (n 8)) (n 9))) (let 10))
34	Het land Nederlandse Antillen houdt op te bestaan .	(ROOT (SMAIN (NP (lid 0) (n 1) (MWU (adj 2) (n 3))) (ww 4) (vz 5) (TI (vz 6) (INF (ww 7)))) (let 8))
35	De huidige dubbele bestuurslaag belemmert daadkrachtig optreden .	(ROOT (SMAIN (NP (lid 0) (adj 1) (adj 2) (n 3)) (ww 4) (INF (adj 5) (ww 6))) (let 7))
36	Maatschappelijke problemen kunnen nu niet effectief worden aangepakt .	(ROOT (SMAIN (NP (adj 0) (n 1)) (ww 2) (INF (PPART (bw 3) (bw 4) (adj 5) (ww 7)) (ww 6))) (let 8))
37	En dat is wel hard nodig .	(ROOT (DU (vg 0) (SMAIN (vnw 1) (ww 2) (bw 3) (AP (adj 4) (adj 5)))) (let 6))
38	Natuurlijk beseffen we dat Curaçao , Bonaire , Sint Maarten , Sint Eustatius en Saba relatief welvarend zijn in verhouding tot andere eilanden in de regio .	(ROOT (SMAIN (adj 0) (ww 1) (vnw 2) (CP (vg 3) (SSUB (CONJ (n 4) (let 5) (n 6) (let 7) (MWU (spec 8) (spec 9)) (let 10) (MWU (spec 11) (spec 12)) (vg 13) (n 14)) (AP (adj 15) (adj 16)) (ww 17) (PP (vz 18) (NP (n 19) (PP (vz 20) (NP (adj 21) (n 22) (PP (vz 23) (NP (lid 24) (n 25)))))))))) (let 26))
39	Maar we mogen de problemen waar burgers mee te maken hebben niet onderschatten .	(ROOT (DU (vg 0) (SMAIN (vnw 1) (ww 2) (INF (NP (lid 3) (n 4) (REL (vnw 5) (SSUB (n 6) (PP (vz 7)) (TI (vz 8) (ww 9)) (ww 10)))) (bw 11) (ww 12)))) (let 13))
40	Er heerst armoede . De jeugdwerkloosheid is erg hoog .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (n 2)) (let 3) (SMAIN (NP (lid 4) (n 5)) (ww 6) (AP (adj 7) (adj 8)))) (let 9))
41	De georganiseerde criminaliteit lijkt vaste grond onder de voeten te hebben en ook in het onderwijs en de gezondheidszorg lopen zaken niet goed .	(ROOT (CONJ (SMAIN (NP (lid 0) (ww 1) (n 2)) (ww 3) (TI (INF (NP (adj 4) (n 5)) (MWU (vz 6) (lid 7) (n 8)) (ww 10)) (vz 9))) (vg 11) (SMAIN (PP (bw 12) (vz 13) (CONJ (NP (lid 14) (n 15)) (vg 16) (NP (lid 17) (n 18)))) (ww 19) (n 20) (bw 21) (adj 22))) (let 23))
42	Het moet en kan beter .	(ROOT (CONJ (SMAIN (vnw 0) (ww 1)) (vg 2) (SV1 (ww 3) (adj 4))) (let 5))
43	Stevig investeren in welzijn en ontwikkeling is noodzakelijk .	(ROOT (SMAIN (NP (adj 0) (ww 1) (PP (vz 2) (CONJ (n 3) (vg 4) (n 5)))) (ww 6) (adj 7)) (let 8))
44	Het belang van de burgers staat voorop . Ook bij de discussie over de nieuwe staatkundige verhoudingen .	(ROOT (DU (SMAIN (NP (lid 0) (n 1) (PP (vz 2) (NP (lid 3) (n 4)))) (ww 5) (bw 6)) (let 7) (PP (bw 8) (vz 9) (NP (lid 10) (n 11) (PP (vz 12) (NP (lid 13) (adj 14) (adj 15) (n 16)))))) (let 17))
45	Structuren en bevoegdheden zijn een middel , zeker geen doel op zich . Het doel is een samenleving waar welvaart , welzijn en respect de boventoon voeren .	(ROOT (DU (SMAIN (CONJ (n 0) (vg 1) (n 2)) (ww 3) (NP (lid 4) (n 5)) (let 6) (adj 7) (NP (vnw 8) (n 9) (PP (vz 10) (vnw 11)))) (let 12) (SMAIN (NP (lid 13) (n 14)) (ww 15) (NP (lid 16) (n 17) (REL (vnw 18) (SSUB (CONJ (n 19) (let 20) (n 21) (vg 22) (n 23)) (NP (lid 24) (n 25)) (ww 26)))))) (let 27))
46	Een samenleving die mensen de kans biedt het beste uit zichzelf te halen .	(ROOT (NP (lid 0) (n 1) (REL (vnw 2) (SSUB (n 3) (NP (lid 4) (n 5) (TI (INF (NP (lid 7) (adj 8)) (PP (vz 9) (vnw 10)) (ww 12)) (vz 11))) (ww 6)))) (let 13))
47	Een samenleving die maatschappelijke problemen concreet aanpakt .	(ROOT (NP (lid 0) (n 1) (REL (vnw 2) (SSUB (NP (adj 3) (n 4)) (adj 5) (ww 6)))) (let 7))
48	We leven in een geglobaliseerde wereld .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (NP (lid 3) (ww 4) (n 5)))) (let 6))
49	De wereld is kleiner , gecompliceerder en meer vervlochten dan ooit .	(ROOT (SMAIN (NP (lid 0) (n 1)) (ww 2) (CONJ (adj 3) (let 4) (adj 5) (vg 6) (NP (AP (vnw 7) (CP (vg 9) (bw 10))) (n 8)))) (let 11))
50	Kijk bijvoorbeeld hoe de Amerikaanse kredietcrisis ook de economische en financiële situatie in Europa en Azië beïnvloedt .	(ROOT (SV1 (ww 0) (bw 1) (WHSUB (bw 2) (SSUB (NP (lid 3) (adj 4) (n 5)) (bw 6) (NP (lid 7) (CONJ (adj 8) (vg 9) (adj 10)) (n 11) (PP (vz 12) (CONJ (n 13) (vg 14) (n 15)))) (ww 16)))) (let 17))
51	Herman Tjeenk Willink , de vice-president van de Raad van State , zegt hierover het volgende : " De onderlinge afhankelijkheid van landen en volkeren is toegenomen .	(ROOT (DU (SMAIN (NP (MWU (spec 0) (spec 1) (spec 2)) (let 3) (NP (lid 4) (n 5) (PP (vz 6) (NP (lid 7) (MWU (n 8) (vz 9) (n 10)))))) (let 11) (ww 12) (bw 13) (NP (lid 14) (ww 15))) (let 16) (let 17) (SMAIN (NP (lid 18) (adj 19) (n 20) (PP (vz 21) (CONJ (n 22) (vg 23) (n 24)))) (ww 25) (PPART (ww 26)))) (let 27))
52	Complexe vraagstukken op het gebied van economie , milieu , mensenrechten , rechtshandhaving en terrorisme maken het voor grote en kleine staten onontkoombaar intensiever samen te werken .	(ROOT (SMAIN (NP (adj 0) (n 1) (PP (MWU (vz 2) (lid 3) (n 4) (vz 5)) (CONJ (n 6) (let 7) (n 8) (let 9) (n 10) (let 11) (n 12) (vg 13) (n 14)))) (ww 15) (vnw 16) (PP (vz 17) (NP (CONJ (adj 18) (vg 19) (adj 20)) (n 21))) (adj 22) (TI (INF (adj 23) (bw 24) (ww 26)) (vz 25))) (let 27))
53	Dat gezamenlijk optrekken draagt het meeste bij aan een betere bescherming van collectieve belangen en individuele vrijheden .	(ROOT (SMAIN (NP (vnw 0) (adj 1) (ww 2)) (ww 3) (MWU (lid 4) (vnw 5)) (vz 6) (PP (vz 7) (NP (lid 8) (adj 9) (n 10) (PP (vz 11) (CONJ (NP (adj 12) (n 13)) (vg 14) (NP (adj 15) (n 16))))))) (let 17))
54	Geen land ter wereld is meer autonoom ; geen land ter wereld kan zich meer alleen zelf redden .	(ROOT (DU (SMAIN (NP (vnw 0) (n 1) (PP (vz 2) (n 3))) (ww 4) (AP (vnw 5) (adj 6))) (let 7) (SMAIN (NP (vnw 8) (n 9) (PP (vz 10) (n 11))) (ww 12) (INF (vnw 13) (vnw 14) (bw 15) (ww 17)) (bw 16))) (let 18))
55	Zoals de Europese Unie elk van de lidstaten sterker maakt in de wereld , zo kan het Koninkrijk elk land en eiland sterker doen staan in onze dynamische wereld .	(ROOT (DU (CP (vg 0) (SSUB (NP (lid 1) (MWU (adj 2) (n 3))) (NP (vnw 4) (PP (vz 5) (NP (lid 6) (n 7)))) (adj 8) (ww 9) (PP (vz 10) (NP (lid 11) (n 12))))) (let 13) (SMAIN (INF (bw 14) (CONJ (NP (vnw 18) (n 19) (PP (vz 25) (NP (vnw 26) (adj 27) (n 28)))) (vg 20) (NP (n 21))) (adj 22) (ww 23) (ww 24)) (ww 15) (NP (lid 16) (n 17)))) (let 29))
56	Daarom is het goed dat we elkaar in het Koninkrijk vasthouden .	(ROOT (SMAIN (bw 0) (ww 1) (vnw 2) (adj 3) (CP (vg 4) (SSUB (vnw 5) (vnw 6) (PP (vz 7) (NP (lid 8) (n 9))) (ww 10)))) (let 11))
57	En dat is - hoe verschillend we ook mogen zijn - ook om andere redenen logisch .	(ROOT (DU (vg 0) (SMAIN (vnw 1) (ww 2) (let 3) (WHREL (AP (bw 4) (adj 5)) (SSUB (vnw 6) (INF (bw 7) (ww 9)) (ww 8))) (let 10) (PP (bw 11) (vz 12) (NP (adj 13) (n 14))) (adj 15))) (let 16))
58	We zijn op veel terreinen verbonden .	(ROOT (SMAIN (vnw 0) (ww 1) (PPART (PP (vz 2) (NP (vnw 3) (n 4))) (ww 5))) (let 6))
59	Natuurlijk door onze geschiedenis .	(ROOT (DU (adj 0) (PP (vz 1) (NP (vnw 2) (n 3)))) (let 4))
60	Maar ook bestuurlijk .	(ROOT (DU (vg 0) (AP (bw 1) (adj 2))) (let 3))
61	We delen een Statuut , een staatshoofd en belangrijke waarden als democratie , mensenrechten , rechtsgelijkheid en rechtszekerheid .	(ROOT (SMAIN (vnw 0) (ww 1) (CONJ (NP (lid 2) (n 3)) (let 4) (NP (lid 5) (n 6)) (vg 7) (NP (adj 8) (n 9) (CP (vg 10) (CONJ (n 11) (let 12) (n 13) (let 14) (n 15) (vg 16) (n 17)))))) (let 18))
62	Maar we zijn ook cultureel sterk vervlochten .	(ROOT (DU (vg 0) (SMAIN (vnw 1) (ww 2) (bw 3) (PPART (AP (adj 4) (adj 5)) (ww 6)))) (let 7))
63	Door de taal , door de literatuur , door Koninginnedag , door de uitwisseling van studenten over en weer .	(ROOT (PP (vz 0) (NP (lid 1) (n 2) (let 3) (PP (vz 4) (NP (lid 5) (n 6))) (let 7) (PP (vz 8) (n 9)) (let 10) (PP (vz 11) (NP (lid 12) (n 13) (PP (vz 14) (NP (n 15) (CONJ (vz 16) (vg 17) (bw 18)))))))) (let 19))
64	Voor het Caribische deel , vormt het Koninkrijk de toegangspoort tot de economie van Europa .	(ROOT (SMAIN (PP (vz 0) (NP (lid 1) (adj 2) (n 3))) (let 4) (ww 5) (NP (lid 6) (n 7)) (NP (lid 8) (n 9) (PP (vz 10) (NP (lid 11) (n 12) (PP (vz 13) (n 14)))))) (let 15))
65	Voor Nederland is het Koninkrijk de springplank naar Zuid- en Midden-Amerika .	(ROOT (SMAIN (PP (vz 0) (n 1)) (ww 2) (NP (lid 3) (n 4)) (NP (lid 5) (n 6) (PP (vz 7) (CONJ (spec 8) (vg 9) (n 10))))) (let 11))
66	We versterken elkaars economische potentieel . Nu al , maar we kunnen dat in de toekomst verder uitbouwen .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (NP (vnw 2) (adj 3) (n 4))) (let 5) (CONJ (ADVP (bw 6) (bw 7)) (let 8) (vg 9) (SMAIN (vnw 10) (ww 11) (INF (vnw 12) (PP (vz 13) (NP (lid 14) (n 15))) (bw 16) (ww 17))))) (let 18))
67	Op 7 december 1942 sprak Koningin Wilhelmina vanuit Londen via Radio Oranje de bevolking toe .	(ROOT (SMAIN (PP (vz 0) (MWU (tw 1) (n 2) (tw 3))) (ww 4) (NP (n 5) (n 6)) (PP (vz 7) (n 8)) (PP (vz 9) (MWU (spec 10) (spec 11))) (NP (lid 12) (n 13)) (vz 14)) (let 15))
68	Over de toekomstige verhoudingen binnen het Koninkrijk zei ze toen : " steunend op eigen kracht , doch met den wil elkander bij te staan " .	(ROOT (DU (SMAIN (PP (vz 0) (NP (lid 1) (adj 2) (n 3) (PP (vz 4) (NP (lid 5) (n 6))))) (ww 7) (vnw 8) (bw 9)) (let 10) (DU (let 11) (CONJ (PPRES (ww 12) (PP (vz 13) (NP (adj 14) (n 15)))) (let 16) (vg 17) (PP (vz 18) (NP (lid 19) (n 20) (TI (INF (vnw 21) (vz 22) (ww 24)) (vz 23))))) (let 25))) (let 26))
69	Woorden die terug te zien zijn op het Autonomiemonument hier op Curacao .	(ROOT (NP (n 0) (REL (vnw 1) (SSUB (PP (bw 2) (TI (vz 3) (ww 4))) (ww 5) (PP (vz 6) (NP (lid 7) (n 8) (ADVP (vnw 9) (PP (vz 10) (n 11)))))))) (let 12))
70	Woorden die in deze tijd niets aan kracht hebben ingeboet .	(ROOT (NP (n 0) (REL (vnw 1) (SSUB (PPART (PP (vz 2) (NP (vnw 3) (n 4))) (PP (vz 6) (n 7)) (ww 9)) (vnw 5) (ww 8)))) (let 10))
71	Het lijkt me een heldere opdracht .	(ROOT (SMAIN (vnw 0) (ww 1) (vnw 2) (NP (lid 3) (adj 4) (n 5))) (let 6))
72	Ik kom bij het tweede deel van mijn betoog .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (NP (lid 3) (tw 4) (n 5) (PP (vz 6) (NP (vnw 7) (n 8)))))) (let 9))
73	Ik geloof zeer sterk dat de kracht van een samenleving bij de maatschappelijke verbanden ligt .	(ROOT (SMAIN (vnw 0) (ww 1) (AP (bw 2) (adj 3)) (CP (vg 4) (SSUB (NP (lid 5) (n 6) (PP (vz 7) (NP (lid 8) (n 9)))) (PP (vz 10) (NP (lid 11) (adj 12) (n 13))) (ww 14)))) (let 15))
74	Er is meer dan markt en overheid .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (vnw 2) (CP (vg 3) (CONJ (n 4) (vg 5) (n 6))))) (let 7))
75	De zogenoemde civil society speelt een belangrijke rol bij het vergroten van de leefbaarheid in een buurt of wijk .	(ROOT (SMAIN (NP (lid 0) (adj 1) (MWU (spec 2) (spec 3))) (ww 4) (NP (lid 5) (adj 6) (n 7)) (PP (vz 8) (NP (lid 9) (ww 10) (PP (vz 11) (NP (lid 12) (n 13) (PP (vz 14) (CONJ (NP (lid 15) (n 16)) (vg 17) (NP (n 18))))))))) (let 19))
76	Bij het creëren van binding in een samenleving .	(ROOT (PP (vz 0) (NP (lid 1) (ww 2) (PP (vz 3) (n 4)) (PP (vz 5) (NP (lid 6) (n 7))))) (let 8))
77	En bij het bevorderen van welzijn bij mensen .	(ROOT (DU (vg 0) (PP (vz 1) (NP (lid 2) (ww 3) (PP (vz 4) (n 5)) (PP (vz 6) (n 7))))) (let 8))
78	Een overheid doet er daarom verstandig aan ruimte te geven aan maatschappelijke initiatieven en deze zo nodig te ondersteunen .	(ROOT (SMAIN (NP (lid 0) (n 1)) (ww 2) (PP (vnw 3) (vz 6)) (bw 4) (adj 5) (CONJ (TI (INF (n 7) (ww 9) (PP (vz 10) (NP (adj 11) (n 12)))) (vz 8)) (vg 13) (TI (INF (vnw 14) (AP (bw 15) (adj 16)) (ww 18)) (vz 17)))) (let 19))
79	Ook hier op de Antillen is verdere ontplooiing van de dynamiek in een samenleving een belangrijk element voor een succesvolle toekomst .	(ROOT (SMAIN (ADVP (bw 0) (vnw 1) (PP (vz 2) (NP (lid 3) (n 4)))) (ww 5) (NP (adj 6) (n 7) (PP (vz 8) (NP (lid 9) (n 10) (PP (vz 11) (NP (lid 12) (n 13)))))) (NP (lid 14) (adj 15) (n 16) (PP (vz 17) (NP (lid 18) (adj 19) (n 20))))) (let 21))
80	Ontloop als bestuurder niet je verantwoordelijkheid om de juiste beslissingen te nemen in het algemeen belang .	(ROOT (SV1 (ww 0) (CP (vz 1) (n 2)) (bw 3) (NP (vnw 4) (n 5) (OTI (vz 6) (TI (INF (NP (lid 7) (adj 8) (n 9) (PP (vz 12) (NP (lid 13) (adj 14) (n 15)))) (ww 11)) (vz 10))))) (let 16))
81	Maar laat ook burgers zich committeren aan het verbeteren van hun eigen leefomstandigheden .	(ROOT (DU (vg 0) (SV1 (ww 1) (bw 2) (n 3) (INF (vnw 4) (ww 5) (PP (vz 6) (NP (lid 7) (ww 8) (PP (vz 9) (NP (vnw 10) (adj 11) (n 12)))))))) (let 13))
82	Ik sprak al eerder over de maatschappelijke problemen waar de eilanden mee kampen .	(ROOT (SMAIN (vnw 0) (ww 1) (AP (bw 2) (adj 3)) (PP (vz 4) (NP (lid 5) (adj 6) (n 7) (REL (vnw 8) (SSUB (NP (lid 9) (n 10)) (PP (vz 11)) (ww 12)))))) (let 13))
83	Natuurlijk is er een voorname rol voor de overheid weggelegd bij het oplossen daarvan .	(ROOT (SMAIN (PPART (adj 0) (vnw 2) (ww 9) (PP (vz 10) (NP (lid 11) (ww 12) (bw 13)))) (ww 1) (NP (lid 3) (adj 4) (n 5) (PP (vz 6) (NP (lid 7) (n 8))))) (let 14))
84	Natuurlijk moeten we investeren in onderwijs om jongeren de kans te geven hun dromen waar te maken .	(ROOT (SMAIN (INF (adj 0) (ww 3) (PP (vz 4) (n 5)) (OTI (vz 6) (TI (INF (adj 7) (NP (lid 8) (n 9) (TI (INF (NP (vnw 12) (n 13)) (adj 14) (ww 16)) (vz 15))) (ww 11)) (vz 10)))) (ww 1) (vnw 2)) (let 17))
85	Natuurlijk moeten we de armoede structureel aanpakken en de criminaliteit terugdringen .	(ROOT (SMAIN (CONJ (INF (adj 0) (NP (lid 3) (n 4)) (adj 5) (ww 6)) (vg 7) (INF (NP (lid 8) (n 9)) (ww 10))) (ww 1) (vnw 2)) (let 11))
86	Maar ook burgers en maatschappelijke organisaties kunnen een cruciale rol van betekenis spelen .	(ROOT (DU (vg 0) (SMAIN (CONJ (NP (bw 1) (n 2)) (vg 3) (NP (adj 4) (n 5))) (ww 6) (INF (NP (lid 7) (adj 8) (n 9) (PP (vz 10) (n 11))) (ww 12)))) (let 13))
87	Hier op Curaçao zijn er genoeg hoopgevende en inspirerende acties van burgers .	(ROOT (SMAIN (ADVP (vnw 0) (PP (vz 1) (n 2))) (ww 3) (vnw 4) (NP (bw 5) (CONJ (adj 6) (vg 7) (ww 8)) (n 9) (PP (vz 10) (n 11)))) (let 12))
